DMS_id,SI,SI_lo95,SI_hi95,V1_over_Vinf,V_monotone_h1_h4,V_range_h90,gamma1,gamma1_lo95,gamma1_hi95,gamma_decay_json,r_rough,s_slope,rs,rs_N1_mean,rs_N3_mean,pos_rs,R2_add_raw,R2_add_latent,link_R2_gain,SI_N1_p975,SI_N3_p025,samesite_SI_reference,verdict_C1,failing_criterion
4D5_HER2_fitness_1N8Z,0.7778066159543968,0.7070941421845519,0.853790829724207,0.5466170401206498,False,6.4130762960026715,,,,{},0.6102109727632434,0.27677119152765883,2.204748873591718,,,,0.7368233790471812,,,,,0.7735169393458757,REFUTED,refuted_by:C1.V1>V2
5A12_Ang2_fitness_4ZFG,0.8444367377980267,0.8135809558703333,0.8881109294186921,0.7102832324449837,True,3.1506042110723214,0.076448846622829,-0.02933193646548733,0.4620343819928588,"{""0"": 1.0, ""1"": 0.076449, ""2"": 0.003, ""3"": -0.052131, ""4"": -0.179083}",0.06508225938856402,0.04955864108235156,1.313237368240523,,,,0.3157577957405302,,,,,0.8407928792354274,REFUTED,refuted_by:C1.SI>=0.8+C1.V1/Vinf>=0.7
5A12_VEGF_fitness_4ZFF,0.24988080925888417,0.22553748640841081,0.2753169704325983,0.07454160700848828,True,5.340643243290548,0.5604172242433709,0.07670611936932226,0.7451875033498482,"{""0"": 1.0, ""1"": 0.560417, ""2"": 0.34566, ""3"": 0.191902, ""4"": 0.258197, ""5"": 0.037415, ""6"": -0.018484, ""7"": 0.148097}",0.3314441339195915,0.37502056497232644,0.883802556118621,,,,0.8812734883324584,,,,,0.24047897154886366,INCONCLUSIVE,support_failed:C1.gamma1>=0.6&CIlo>0.45
ACE2_SARS2-RBD_enrich_6M17,0.5773791638927106,0.5089777707143016,0.6488920708659411,0.47978901710627575,True,1.8003799060870596,,,,"{""0"": 1.0}",4.5132707394059605e-12,0.8180858860566661,5.51686664729153e-12,,,,1.0,,,,,0.5648871504246062,INCONCLUSIVE,support_failed:C1.SI<=0.5+C1.V1/Vinf<=0.35
BH3_Bcl-xL_normed_1PQ1,0.6475917377062786,0.5288312072744112,0.8595715101031487,0.5776160766914066,False,1.5031257955969213,0.6348552975655377,0.4527249611149513,0.7882297264572476,"{""0"": 1.0, ""1"": 0.634855, ""2"": 0.578182, ""3"": 0.398105, ""4"": 0.361176}",0.15062226718892996,0.387156820546756,0.38904717467256833,,,,0.776770982981801,,,,,0.5926146789989016,INCONCLUSIVE,support_failed:C1.SI<=0.5+C1.V1/Vinf<=0.35+C1.V_monotone_h1_h4
BH3_Mcl-1_normed_3KZ0,0.6819692059653603,0.5273208744809059,0.8182500630142668,0.5125783100103701,False,2.2432332679662954,0.6326605547431042,0.542055264326972,0.7246775303778235,"{""0"": 1.0, ""1"": 0.632661, ""2"": 0.491279, ""3"": 0.390055, ""4"": 0.298963}",0.3085453259171548,0.755704797829983,0.4082881659652645,,,,0.6069336491918064,,,,,0.5169585995360746,INCONCLUSIVE,support_failed:C1.SI<=0.5+C1.V1/Vinf<=0.35+C1.V_monotone_h1_h4
CD19_FMC63_Fitness_7URV,0.38101688935333705,0.34366831500097633,0.4922466268023489,0.17686939308914468,True,3.1252452075642876,0.3927682637365808,0.26127765288072813,0.5571023420542195,"{""0"": 1.0, ""1"": 0.392768, ""2"": 0.108118}",1.4246245963384099,3.6343924327338697,0.39198425120723024,,,,0.9178081841958672,,,,,0.3753701719406383,INCONCLUSIVE,support_failed:C1.gamma1>=0.6&CIlo>0.45
CR6261_FluAH1_logKd_3GBN,0.3941246830558486,0.200577919149976,0.612807236753856,0.25790077738703104,True,4.582668602308364,0.647594080926616,0.39810747937161195,0.857528334828641,"{""0"": 1.0, ""1"": 0.647594, ""2"": 0.656682, ""3"": 0.636328, ""4"": 0.634913, ""5"": 0.602858, ""6"": 0.56195, ""7"": 0.505898, ""8"": 0.45003, ""9"": 0.63742, ""10"": 0.538957}",0.4061837665837137,0.289260229978011,1.4042157354800935,,,,0.7430261110294989,,,,,,INCONCLUSIVE,support_failed:C1.gamma1>=0.6&CIlo>0.45
CR9114_FluAH1_logKd_4FQI,0.32384297925003747,0.19482768422688404,0.48374426615806887,0.2020560859552949,True,6.649421018051785,0.6216390588789392,0.5016088517517799,0.7258706994989399,"{""0"": 1.0, ""1"": 0.621639, ""2"": 0.607375, ""3"": 0.577776, ""4"": 0.536784, ""5"": 0.506236, ""6"": 0.474739, ""7"": 0.438636, ""8"": 0.399004, ""9"": 0.355108, ""10"": 0.311774, ""11"": 0.265096, ""12"": 0.215394, ""13"": 0.160557, ""14"": 0.101131, ""15"": -0.109277}",0.3780808174484141,0.1366732227291203,2.766312302430681,,,,0.650387781357769,,,,,,INCONCLUSIVE,unevaluable:C1.pos_rs>=0.7
CR9114_FluAH3_logKd_4FQY,0.37042958269375303,0.21720295946708626,0.5588016567890778,0.27468960860735847,True,5.491845467355093,,,,"{""0"": null, ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""14"": null, ""15"": null}",0.30207451285451725,0.06784849968714995,4.452191489087976,,,,0.2983996631319227,,,,,,INCONCLUSIVE,unevaluable:C1.gamma1>=0.6&CIlo>0.45+C1.gamma1<=0.2&CIhi<0.45+C1.pos_rs>=0.7
CXCR4_CXCL12_enrich_8U4O,0.8829960933080426,0.8555036514527893,0.909516849459472,0.8162336962783044,True,1.4542036358619654,,,,"{""0"": 1.0}",3.956684123998711e-11,1.1620446612737592,3.404932921994277e-11,,,,1.0,,,,,0.8986709905565531,REFUTED,refuted_by:C1.SI>=0.8+C1.V1/Vinf>=0.7
GB1_IgG-Fc_fitness_1FCC,0.2677064935218304,0.2247886132310609,0.3191933018209554,0.14158765817317776,True,3.6252955573580117,0.7975867440045589,0.7625687601602443,0.8299238909158154,"{""0"": 1.0, ""1"": 0.797587}",0.31602637965930885,0.4751498406177255,0.6651088828072722,,,,0.9016924105572052,,,,,0.23046728870436253,INCONCLUSIVE,unevaluable:C1.pos_rs>=0.7
GB1_IgG-Fc_fitness_1FCC_2016,0.44086407091895946,0.3196475889870877,0.5519855086511968,0.27223642113752233,True,3.3411420980479343,0.6978000007809094,0.597489016862981,0.8480136553421634,"{""0"": 1.0, ""1"": 0.6978, ""2"": 0.469511, ""3"": 0.42951}",0.5185141377922812,0.49625241071100884,1.0448596855164425,,,,0.7407526383460288,,,,,0.4258576931603741,INCONCLUSIVE,unevaluable:C1.pos_rs>=0.7
HLA-A2_TAPBPR_meanscore_5WER,0.6949509413851586,0.6650706501656548,0.7240671098073446,0.4901552965477084,True,1.7996109153676585,,,,{},8.676803686667227e-14,0.8174800645575642,1.0614085973293158e-13,,,,1.0,,,,,0.6949509413851586,INCONCLUSIVE,support_failed:C1.SI<=0.5+C1.V1/Vinf<=0.35
KRAS_DARPinK27_norfitness_5O2S,0.5140884097882673,0.4756117503788253,0.5547948069230418,0.3527650106691872,False,2.5862436016122037,0.7320413297315542,0.7087615441530017,0.7535271576167728,"{""0"": 1.0, ""1"": 0.732041}",0.18003595850676074,0.38026323921252697,0.47345086230157435,,,,0.8451591365732252,,,,,0.4754699252889231,INCONCLUSIVE,support_failed:C1.SI<=0.5+C1.V1/Vinf<=0.35+C1.V_monotone_h1_h4
KRAS_PICK3CG-RBD_norfitness_1HE8,0.42889738262316685,0.38927920862194043,0.470410925297624,0.26295441747814896,True,2.781926005502722,0.7806047831245873,0.7576682184904692,0.8033808037358819,"{""0"": 1.0, ""1"": 0.780605}",0.17568314362687806,0.33307458660587524,0.5274588656466987,,,,0.8762792729744724,,,,,0.3890035190230623,INCONCLUSIVE,unevaluable:C1.pos_rs>=0.7
KRAS_RAF1-RBD_norfitness_6VJJ,0.4082929007201637,0.36272707931365716,0.4518634524169892,0.25591411426995814,False,2.7579173746881693,0.7733395747069249,0.7418813131393733,0.8023600502633251,"{""0"": 1.0, ""1"": 0.77334}",0.13532096090553836,0.2207472231873014,0.6130131965044929,,,,0.8810701092449256,,,,,0.3711640452418123,INCONCLUSIVE,support_failed:C1.V_monotone_h1_h4
KRAS_RAF1_norfitness_6VJJ,0.4465289242878613,0.4005876336413419,0.4988236343562761,0.2756048222508273,False,2.63560515892407,0.7649817015955571,0.735286485278617,0.7927885748141837,"{""0"": 1.0, ""1"": 0.764982}",0.1961621036928247,0.45614699250979535,0.43004142724587247,,,,0.8506928597746467,,,,,0.3859233803299765,INCONCLUSIVE,support_failed:C1.V_monotone_h1_h4
KRAS_RALGDS-RBD_norfitness_1LFD,0.39353671621956005,0.3491327727595055,0.43747724823052553,0.24131384839266687,True,2.752586002937505,0.7770615104971981,0.7449429348513055,0.8087438385398416,"{""0"": 1.0, ""1"": 0.777062}",0.15539304768268108,0.2629409527550721,0.5909807736470353,,,,0.8829142262915829,,,,,0.3542679454442806,INCONCLUSIVE,unevaluable:C1.pos_rs>=0.7
KRAS_SOS1_norfitness_8BE4,0.5129392810771551,0.4748822930681712,0.5533305479213726,0.3516610740039789,False,2.583855681957793,0.7327750875990872,0.7098603908067181,0.7548536803096085,"{""0"": 1.0, ""1"": 0.732775}",0.17990136049946043,0.37653101644868786,0.47778629818129914,,,,0.845345402615917,,,,,0.47426749857343287,INCONCLUSIVE,support_failed:C1.SI<=0.5+C1.V1/Vinf<=0.35+C1.V_monotone_h1_h4
PSD95_CRIPT_1BE9,0.6147050611273082,0.5025113104385212,0.7278887966321791,0.4873334189119765,True,1.7947387640856425,,,,"{""0"": 1.0}",1.1514728949159658e-12,0.26638485716405325,4.3225914084404226e-12,,,,1.0,,,,,0.6042470138298894,INCONCLUSIVE,support_failed:C1.SI<=0.5+C1.V1/Vinf<=0.35
PSD95_Tm2F_1BE9,0.6461403708306299,0.568596680881261,0.727012872938792,0.5497269198779057,True,1.7680524576530852,,,,"{""0"": 1.0}",8.534181021358887e-13,0.2986683707163961,2.8574103782360718e-12,,,,1.0,,,,,0.6415041720190032,INCONCLUSIVE,support_failed:C1.SI<=0.5+C1.V1/Vinf<=0.35
SARS2-RBD_ACE2_deltaKd_6M0J,0.342477888276126,0.2990119427914419,0.39018963894227204,0.22980564320034416,True,4.436745071692076,0.847969226630149,0.8327384954994832,0.8621124902408112,"{""0"": 1.0, ""1"": 0.847969, ""2"": 0.701093}",0.7928309943637393,0.9624462081268992,0.8237665520099425,,,,0.8183016283708217,,,,,0.2740239970958703,INCONCLUSIVE,unevaluable:C1.pos_rs>=0.7
Z-domain_ZSPA-1_LL1_fitness_1LP1,1.3976689159549502,1.188524706806225,1.6595289874687704,2.4158086404663193,False,1.0,,,,{},0.12393706600412724,0.031040611739065763,3.9927391588145746,,,,0.21676347218608616,,,,,1.3169549282625264,REFUTED,refuted_by:C1.SI>=0.8+C1.V1/Vinf>=0.7
Z-domain_ZSPA-1_LL2_fitness_1LP1,1.0007225677701566,0.8193042913522525,1.56208759036491,1.424632551706975,False,1.0,,,,{},0.294795451650594,0.0640628101206084,4.601662822714065,,,,0.29283571153404164,,,,,0.8976273889638803,REFUTED,refuted_by:C1.SI>=0.8+C1.V1/Vinf>=0.7
Z-domain_ZpA963_HL1_fitness_2M5A,0.5175662184378728,0.40940653589235604,0.615805188730621,0.28177924462629644,True,4.109635523612177,0.5945962069088483,0.4625436003435038,0.8024748868179502,"{""0"": 1.0, ""1"": 0.594596, ""2"": 0.514959, ""3"": 0.394527, ""4"": 0.273196, ""5"": 0.187241}",0.2594487946602193,0.34004390890996494,0.7629861552053703,,,,0.8239622404678683,,,,,0.3397768020738117,INCONCLUSIVE,support_failed:C1.SI<=0.5+C1.gamma1>=0.6&CIlo>0.45
Z-domain_ZpA963_HL2_fitness_2M5A,0.8931760740321604,0.7898276267315688,0.9936218819683575,1.0594731244394169,False,1.0,0.527346626230055,0.3454743999691498,0.8967302064490277,"{""0"": 1.0, ""1"": 0.527347, ""2"": 0.494646, ""3"": 0.404977, ""4"": 0.067254, ""5"": 0.306657}",0.48315899121906447,0.6466324270434337,0.7471926414643154,,,,0.6082517473775657,,,,,0.6567520282298929,REFUTED,refuted_by:C1.SI>=0.8+C1.V1/Vinf>=0.7+C1.V1>V2
hYAP65_peptide_FunctioncalScore_1JMQ,0.5761264286052267,0.5243414882854445,0.6491453863224722,0.37124888245841675,True,2.954025342959043,0.7182203371756873,0.6925343070118449,0.7414616464265386,"{""0"": 1.0, ""1"": 0.71822, ""2"": 0.062674, ""3"": 0.389916}",0.305898158302139,0.4442069533593781,0.688638833743463,,,,0.5471125398361996,,,,,0.5136514468214827,INCONCLUSIVE,support_failed:C1.SI<=0.5+C1.V1/Vinf<=0.35
