DMS_id,tier,n,n_nested,floor_frac,verdict_C1,SI,SI_predeclared,SI_matches_predeclared,R2_add_latent,R2_add_raw,C1_refuted,n_Pa,obs_rate_tau3,N2_mean_rate_tau3,T_N2_tau3,T_N2_band_lo_tau3,T_N2_band_hi_tau3,inside_two_sided_tau3,inside_one_sided_tau3,obs_rate_tau4,N2_mean_rate_tau4,T_N2_tau4,T_N2_band_lo_tau4,T_N2_band_hi_tau4,inside_two_sided_tau4,inside_one_sided_tau4,density_n_per_bin,density_rates_tau3,density_monotone_tau3,density_spearman_tau3,density_rates_tau4,density_monotone_tau4,density_spearman_tau4,density_monotone_any_tau,density_pass,PASS_purpose,PASS_literal
Z-domain_ZSPA-1_LL1_fitness_1LP1,CONTROL,45476,67329,0.0,REFUTED,1.397669,1.398,True,,0.21676347218608616,True,67329,0.011228445395000668,0.016759717209523385,0.6699662801362973,0.9285590850883763,1.0652330924349642,False,True,0.002123899062810973,0.0026669785679276385,0.7963690028680422,0.8519199175785929,1.1642023779689807,False,True,"[12581, 12448, 17182, 11701, 13417]","[0.00969716, 0.00867609, 0.0127459, 0.01341766, 0.01117985]",False,0.6,"[0.00031794, 0.00120501, 0.00302642, 0.00213657, 0.00350302]",False,0.9,False,True,True,False
Z-domain_ZSPA-1_LL2_fitness_1LP1,CONTROL,5583,8550,0.0,REFUTED,1.000723,1.001,True,,0.29283571153404164,True,8550,0.010058479532163742,0.0212,0.4744565817058369,0.8384365000551693,1.1807624406929274,False,True,0.002456140350877193,0.008049707602339182,0.3051216854340719,0.7115873592444606,1.3229204504177263,False,True,"[1592, 2060, 1307, 1909, 1682]","[0.0169598, 0.01116505, 0.006886, 0.00680985, 0.00832342]",False,-0.7,"[0.00628141, 0.00145631, 0.00076511, 0.00209534, 0.00178359]",False,-0.2,False,True,True,False
