DMS_id,knob,value,n_Pa,TR,T_N2,q_BH,dBIC,pi_hat,SI,beta_sibling,OR_iface,verdict_flips
CD19_FMC63_Fitness_7URV,floor_mask,on,2883,10.161914109599424,0.6984115613975393,1.0,-5863.72029907246,0.04995039365635574,0.381016889353337,,,T>=2&q<.05:F->F TR>N1p995:F->F
CD19_FMC63_Fitness_7URV,floor_mask,off,2883,10.161914109599424,0.6984115613975393,1.0,-5863.72029907246,0.04995039365635574,0.381016889353337,,,T>=2&q<.05:F->F TR>N1p995:F->F
CD19_FMC63_Fitness_7URV,centring,phi_centred,2883,10.161914109599424,0.6984115613975393,1.0,-5863.72029907246,0.04995039365635574,0.381016889353337,,,T>=2&q<.05:F->F TR>N1p995:F->F
CD19_FMC63_Fitness_7URV,centring,uncentred,2883,10.146579515465243,0.6761806469981138,1.0,-5850.435068692694,0.050006662922715134,0.381016889353337,,,T>=2&q<.05:F->F TR>N1p995:F->F
GB1_IgG-Fc_fitness_1FCC,tau,2,183690,4.886957809556234,0.8620074881986293,1.0,-11429.501696027117,0.05253056834490074,0.2677064935218304,,,T>=2&q<.05:F->F TR>N1p995:F->F
GB1_IgG-Fc_fitness_1FCC,tau,3,183690,4.886957809556234,0.650642266495925,1.0,-11429.501696027117,0.05253056834490074,0.2677064935218304,,,T>=2&q<.05:F->F TR>N1p995:F->F
GB1_IgG-Fc_fitness_1FCC,tau,4,183690,4.886957809556234,0.5023978077186573,1.0,-11429.501696027117,0.05253056834490074,0.2677064935218304,,,T>=2&q<.05:F->F TR>N1p995:F->F
GB1_IgG-Fc_fitness_1FCC,tau,5,183690,4.886957809556234,0.4532249195772556,1.0,-11429.501696027117,0.05253056834490074,0.2677064935218304,,,T>=2&q<.05:F->F TR>N1p995:F->F
GB1_IgG-Fc_fitness_1FCC,tau,6,183690,4.886957809556234,0.45269491115862376,1.0,-11429.501696027117,0.05253056834490074,0.2677064935218304,,,T>=2&q<.05:F->F TR>N1p995:F->F
GB1_IgG-Fc_fitness_1FCC,tau,8,183690,4.886957809556234,0.29224971211222395,1.0,-11429.501696027117,0.05253056834490074,0.2677064935218304,,,T>=2&q<.05:F->F TR>N1p995:F->F
GB1_IgG-Fc_fitness_1FCC,sigma_mult,0.5,183690,4.886957809556234,0.8620074881986293,1.0,-11429.501696027117,0.05253056834490074,0.2677064935218304,,,T>=2&q<.05:F->F TR>N1p995:F->F
GB1_IgG-Fc_fitness_1FCC,sigma_mult,1,183690,4.886957809556234,0.5023978077186573,1.0,-11429.501696027117,0.05253056834490074,0.2677064935218304,,,T>=2&q<.05:F->F TR>N1p995:F->F
GB1_IgG-Fc_fitness_1FCC,sigma_mult,2,183690,4.886957809556234,0.29224971211222395,1.0,-11429.501696027117,0.05253056834490074,0.2677064935218304,,,T>=2&q<.05:F->F TR>N1p995:F->F
GB1_IgG-Fc_fitness_1FCC,scale,latent,183690,4.886957809556234,0.5023978077186573,1.0,-11429.501696027117,0.05253056834490074,0.2677064935218304,,,T>=2&q<.05:F->F TR>N1p995:F->F
GB1_IgG-Fc_fitness_1FCC,scale,raw,183690,4.378182195342038,1.0000000000000004,1.0,-5747.333088830812,0.029278041315066606,0.2677064935218304,,,T>=2&q<.05:F->F TR>N1p995:F->F
GB1_IgG-Fc_fitness_1FCC,floor_mask,on,183690,4.886957809556234,0.5023978077186573,1.0,-11429.501696027117,0.05253056834490074,0.2677064935218304,,,T>=2&q<.05:F->F TR>N1p995:F->F
