DMS_id,scale,unit,n_Pa,frac_c_exact_zero,Q75,Q99,Q999,TR_used,TR,TR_N1_p95,TR_N1_p995,TR_N2c_mean,kurtosis,pi_hat,pi_lo95,pi_hi95,sigma1,sigma2,rho_hat,dBIC,Lambda,Lambda_N1_p995,tau,tau_absolute,grid_guard_pass,n_cliff,rate_obs,rate_N1_mean,rate_N2_mean,rate_N2_p95,rate_N2b_mean,T_N2,T_N2_lo95,T_N2_hi95,T_N2b,p_perm_N2,q_BH,n_consecutive_tau_passing,verdict_C2,failing_criterion,notes
5A12_VEGF_fitness_4ZFF,latent,sigma,22008,0.0,1.102436048156845,3.4220735596595078,4.407963470176042,TR1,3.9983847385484945,10.513658453821337,12.37240365566909,7.574715773848629,4.923857142153179,0.8266439355946136,0.7651056543373832,0.9406878206027971,0.17418451136140026,1.1459340252638868,6.578851450725652,-1714.1053911486815,1734.1037137538879,17209.77742109493,2.0,0.4052747873155856,True,1339,0.06084151217739004,0.18099577426390404,0.06204857324609234,0.06502181025081788,0.1512186477644493,0.9805465137141036,0.6957906372141931,1.355739715394022,0.40234133208334083,0.7512437810945274,1.0,0,REFUTED,refuted_by:C2.TR<N1_p95+C2.maxT<1.5&CIhi<2,BH family=PRIMARY+ARM(14)
5A12_VEGF_fitness_4ZFF,latent,sigma,22008,0.0,1.102436048156845,3.4220735596595078,4.407963470176042,TR1,3.9983847385484945,10.513658453821337,12.37240365566909,7.574715773848629,4.923857142153179,0.8266439355946136,0.7651056543373832,0.9406878206027971,0.17418451136140026,1.1459340252638868,6.578851450725652,-1714.1053911486815,1734.1037137538879,17209.77742109493,3.0,0.6079121809733784,True,387,0.0175845147219193,0.09978666848418756,0.021213876772082876,0.023221101417666302,0.09609460196292258,0.8289156626506025,0.43958446769505183,1.301138365204656,0.18299170153911623,1.0,1.0,0,REFUTED,refuted_by:C2.TR<N1_p95+C2.maxT<1.5&CIhi<2,BH family=PRIMARY+ARM(14)
5A12_VEGF_fitness_4ZFF,latent,sigma,22008,0.0,1.102436048156845,3.4220735596595078,4.407963470176042,TR1,3.9983847385484945,10.513658453821337,12.37240365566909,7.574715773848629,4.923857142153179,0.8266439355946136,0.7651056543373832,0.9406878206027971,0.17418451136140026,1.1459340252638868,6.578851450725652,-1714.1053911486815,1734.1037137538879,17209.77742109493,4.0,0.8105495746311712,True,79,0.0035896037804434753,0.05949086695747001,0.007066748455107234,0.008092511813885858,0.07531193202471828,0.5079569201093072,0.18665717198455734,1.0306372395067622,0.047663148241441,1.0,1.0,0,REFUTED,refuted_by:C2.TR<N1_p95+C2.maxT<1.5&CIhi<2,BH family=PRIMARY+ARM(14)
5A12_VEGF_fitness_4ZFF,latent,sigma,22008,0.0,1.102436048156845,3.4220735596595078,4.407963470176042,TR1,3.9983847385484945,10.513658453821337,12.37240365566909,7.574715773848629,4.923857142153179,0.8266439355946136,0.7651056543373832,0.9406878206027971,0.17418451136140026,1.1459340252638868,6.578851450725652,-1714.1053911486815,1734.1037137538879,17209.77742109493,5.0,1.013186968288964,True,3,0.00013631406761177754,0.03599259360232642,0.0021612595419847327,0.0027262813522355507,0.06503771355870593,0.0630715862503942,0.0,0.15391424676999269,0.00209592342893073,1.0,1.0,0,REFUTED,refuted_by:C2.TR<N1_p95+C2.maxT<1.5&CIhi<2,BH family=PRIMARY+ARM(14)
5A12_VEGF_fitness_4ZFF,latent,sigma,22008,0.0,1.102436048156845,3.4220735596595078,4.407963470176042,TR1,3.9983847385484945,10.513658453821337,12.37240365566909,7.574715773848629,4.923857142153179,0.8266439355946136,0.7651056543373832,0.9406878206027971,0.17418451136140026,1.1459340252638868,6.578851450725652,-1714.1053911486815,1734.1037137538879,17209.77742109493,6.0,1.2158243619467568,True,0,0.0,0.021857960741548527,0.0007869865503453289,0.0011359505634314794,0.05776444929116684,0.0,0.0,0.0,0.0,1.0,1.0,0,REFUTED,refuted_by:C2.TR<N1_p95+C2.maxT<1.5&CIhi<2,BH family=PRIMARY+ARM(14)
5A12_VEGF_fitness_4ZFF,latent,sigma,22008,0.0,1.102436048156845,3.4220735596595078,4.407963470176042,TR1,3.9983847385484945,10.513658453821337,12.37240365566909,7.574715773848629,4.923857142153179,0.8266439355946136,0.7651056543373832,0.9406878206027971,0.17418451136140026,1.1459340252638868,6.578851450725652,-1714.1053911486815,1734.1037137538879,17209.77742109493,8.0,1.6210991492623423,True,0,0.0,0.008913349691021446,0.00010677935296255904,0.0002271901126862959,0.04777285532533623,0.0,0.0,0.0,0.0,1.0,1.0,0,REFUTED,refuted_by:C2.TR<N1_p95+C2.maxT<1.5&CIhi<2,BH family=PRIMARY+ARM(14)
5A12_VEGF_fitness_4ZFF,latent,MAD,22008,0.0,1.3209341282377904,2.271563073490342,2.8608724121107314,TR1,2.1657949105511536,3.7596056125730857,3.851964048754016,3.602107805034789,2.5659237205998786,0.8910565055484724,0.8593784271791709,0.9647860610759865,0.1724583542477808,1.0866179610272062,6.300755714425987,-667.3504714895826,687.3487940947889,5681.801900455594,2.0,0.32478504911171885,True,637,0.028944020356234095,0.18222260087241005,0.03420051799345692,0.03876772082878953,0.18865094511086877,0.8463035665650306,0.5172269397700894,1.6747694231833625,0.15342632044182927,0.9651741293532339,0.9651741293532339,0,REFUTED,refuted_by:C2.TR<N1_p95+C2.maxT<1.5&CIhi<2,BH family=PRIMARY+ARM(14)
5A12_VEGF_fitness_4ZFF,latent,MAD,22008,0.0,1.3209341282377904,2.271563073490342,2.8608724121107314,TR1,2.1657949105511536,3.7596056125730857,3.851964048754016,3.602107805034789,2.5659237205998786,0.8910565055484724,0.8593784271791709,0.9647860610759865,0.1724583542477808,1.0866179610272062,6.300755714425987,-667.3504714895826,687.3487940947889,5681.801900455594,3.0,0.4871775736675783,True,12,0.0005452562704471102,0.06866503089785532,0.0016319065794256635,0.002090149036713922,0.06326267720828789,0.33412223305025757,0.0,1.3720521212270402,0.008618925004578806,1.0,1.0,0,REFUTED,refuted_by:C2.TR<N1_p95+C2.maxT<1.5&CIhi<2,BH family=PRIMARY+ARM(14)
5A12_VEGF_fitness_4ZFF,latent,MAD,22008,0.0,1.3209341282377904,2.271563073490342,2.8608724121107314,TR1,2.1657949105511536,3.7596056125730857,3.851964048754016,3.602107805034789,2.5659237205998786,0.8910565055484724,0.8593784271791709,0.9647860610759865,0.1724583542477808,1.0866179610272062,6.300755714425987,-667.3504714895826,687.3487940947889,5681.801900455594,4.0,0.6495700982234377,True,1,4.5438022537259176e-05,0.029490412577244638,6.384042166484915e-05,0.0001817520901490367,0.019927980734278445,0.7117437722419927,0.0,2.57458454710088,0.002280111725474548,0.7512437810945274,0.8090317642556448,0,REFUTED,refuted_by:C2.TR<N1_p95+C2.maxT<1.5&CIhi<2,BH family=PRIMARY+ARM(14)
5A12_VEGF_fitness_4ZFF,latent,MAD,22008,0.0,1.3209341282377904,2.271563073490342,2.8608724121107314,TR1,2.1657949105511536,3.7596056125730857,3.851964048754016,3.602107805034789,2.5659237205998786,0.8910565055484724,0.8593784271791709,0.9647860610759865,0.1724583542477808,1.0866179610272062,6.300755714425987,-667.3504714895826,687.3487940947889,5681.801900455594,5.0,0.8119626227792971,True,0,0.0,0.009833924027626319,0.0,0.0,0.007854416575790621,,,,0.0,1.0,1.0,0,REFUTED,refuted_by:C2.TR<N1_p95+C2.maxT<1.5&CIhi<2,BH family=PRIMARY+ARM(14)
5A12_VEGF_fitness_4ZFF,latent,MAD,22008,0.0,1.3209341282377904,2.271563073490342,2.8608724121107314,TR1,2.1657949105511536,3.7596056125730857,3.851964048754016,3.602107805034789,2.5659237205998786,0.8910565055484724,0.8593784271791709,0.9647860610759865,0.1724583542477808,1.0866179610272062,6.300755714425987,-667.3504714895826,687.3487940947889,5681.801900455594,6.0,0.9743551473351566,True,0,0.0,0.0004741457651762995,0.0,0.0,0.003197246455834242,,,,0.0,1.0,1.0,0,REFUTED,refuted_by:C2.TR<N1_p95+C2.maxT<1.5&CIhi<2,BH family=PRIMARY+ARM(14)
5A12_VEGF_fitness_4ZFF,latent,MAD,22008,0.0,1.3209341282377904,2.271563073490342,2.8608724121107314,TR1,2.1657949105511536,3.7596056125730857,3.851964048754016,3.602107805034789,2.5659237205998786,0.8910565055484724,0.8593784271791709,0.9647860610759865,0.1724583542477808,1.0866179610272062,6.300755714425987,-667.3504714895826,687.3487940947889,5681.801900455594,8.0,1.2991401964468754,True,0,0.0,4.543802253725918e-07,0.0,0.0,2.1810250817884406e-05,,,,0.0,1.0,1.0,0,REFUTED,refuted_by:C2.TR<N1_p95+C2.maxT<1.5&CIhi<2,BH family=PRIMARY+ARM(14)
5A12_VEGF_fitness_4ZFF,raw,sigma,22008,0.0,1.481129638720953,4.102540252519554,8.436851106945465,TR1,5.696227316220076,12.411849311292457,12.734016944919237,11.632814788413231,6.591081770519525,0.07079944367342345,0.03698612806477254,0.15319859741035646,1.2219618100560747,2.9706146878090123,2.4310208906387127,-1458.121851351505,1478.1201739567186,23933.355216027645,2.0,0.5370173218342167,True,3043,0.13826790258087968,0.24457947110141767,0.1382679025808797,0.13826790258087968,0.17896878407851688,0.9999999999999998,0.7523333131207536,1.4727440283971267,0.7725811140350544,1.0,1.0,0,REFUTED,,BH family=PRIMARY+ARM(14)
5A12_VEGF_fitness_4ZFF,raw,sigma,22008,0.0,1.481129638720953,4.102540252519554,8.436851106945465,TR1,5.696227316220076,12.411849311292457,12.734016944919237,11.632814788413231,6.591081770519525,0.07079944367342345,0.03698612806477254,0.15319859741035646,1.2219618100560747,2.9706146878090123,2.4310208906387127,-1458.121851351505,1478.1201739567186,23933.355216027645,3.0,0.805525982751325,True,818,0.03716830243547801,0.1727403671392221,0.037168302435478015,0.03716830243547801,0.11627567248273354,0.9999999999999998,0.706512621372611,1.6911840159358322,0.31965674024372853,1.0,1.0,0,REFUTED,,BH family=PRIMARY+ARM(14)
5A12_VEGF_fitness_4ZFF,raw,sigma,22008,0.0,1.481129638720953,4.102540252519554,8.436851106945465,TR1,5.696227316220076,12.411849311292457,12.734016944919237,11.632814788413231,6.591081770519525,0.07079944367342345,0.03698612806477254,0.15319859741035646,1.2219618100560747,2.9706146878090123,2.4310208906387127,-1458.121851351505,1478.1201739567186,23933.355216027645,4.0,1.0740346436684334,True,248,0.011268629589240277,0.13165371683024354,0.011268629589240273,0.011268629589240277,0.08088172482733551,1.0000000000000002,0.5979640890899247,1.9480127367694562,0.13932232050313337,1.0,1.0,0,REFUTED,,BH family=PRIMARY+ARM(14)
5A12_VEGF_fitness_4ZFF,raw,sigma,22008,0.0,1.481129638720953,4.102540252519554,8.436851106945465,TR1,5.696227316220076,12.411849311292457,12.734016944919237,11.632814788413231,6.591081770519525,0.07079944367342345,0.03698612806477254,0.15319859741035646,1.2219618100560747,2.9706146878090123,2.4310208906387127,-1458.121851351505,1478.1201739567186,23933.355216027645,5.0,1.3425433045855417,True,119,0.005407124681933842,0.10622410032715378,0.005407124681933841,0.005407124681933842,0.06398127953471465,1.0000000000000002,0.42640954627888505,2.2055052400166595,0.08451104324976919,1.0,1.0,0,REFUTED,,BH family=PRIMARY+ARM(14)
