DMS_id,tier,family_id,registered,n_primary_Pa,underpowered_G8,underpowered_source,study_halted,counts_in_family,contributes,eligible_C1,eligible_C2,eligible_C3L,eligible_C4S,eligible_C4I,cluster_channel_adds_C2,cluster_channel_allowed,verdict_C1,verdict_C1_failing_criterion,verdict_C1_clauses,verdict_C1_SI,verdict_C1_V1_over_Vinf,verdict_C1_gamma1,verdict_C1_pos_rs,verdict_C2,verdict_C2_failing_criterion,verdict_C2_clauses,verdict_C2_raw,latent_raw_consistent,verdict_C2_raw_only_positive_discarded,verdict_C3L,verdict_C3L_failing_criterion,verdict_C3L_clauses,verdict_C3A,verdict_C3A_failing_criterion,verdict_C3A_clauses,verdict_C4S,verdict_C4S_failing_criterion,verdict_C4S_clauses,verdict_C4S_assay_permissible,verdict_C5,verdict_C5_failing_criterion,verdict_C5_clauses,verdict_C4S_OR,verdict_C4S_OR_lo95,verdict_C4S_OR_hi95,verdict_C4S_p_NS1,verdict_C4S_OR_ci_covers_1
CXCR4_CXCL12_enrich_8U4O,EXCLUDED,,True,0,False,,False,False,False,False,False,False,False,False,False,,REFUTED,refuted_by:C1.SI>=0.8+C1.V1/Vinf>=0.7,C1.SI<=0.5=F(SI=0.882996) | C1.V1/Vinf<=0.35=F(V1/Vinf=0.816234) | C1.V_monotone_h1_h4=T(monotone=True) | C1.gamma1>=0.6&CIlo>0.45=?(gamma1=NA lo95=NA) | C1.SI>=0.8=T(SI=0.882996) | C1.V1/Vinf>=0.7=T(V1/Vinf=0.816234) | C1.V1>V2=F(from T05 V_h) | C1.gamma1<=0.2&CIhi<0.45=?(gamma1=NA hi95=NA) | C1.pos_rs>=0.7=?(pos_rs=NA),0.8829960933080426,0.8162336962783044,,,INCONCLUSIVE,table_missing:T06,,INCONCLUSIVE,True,False,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,assay_not_permissible_for_C4S,,False,INCONCLUSIVE,table_missing:T12,,,,,,
GB1_IgG-Fc_fitness_1FCC,PRIMARY,F1,True,183690,False,,False,True,True,True,True,True,True,False,False,,INCONCLUSIVE,unevaluable:C1.pos_rs>=0.7,C1.SI<=0.5=T(SI=0.267706) | C1.V1/Vinf<=0.35=T(V1/Vinf=0.141588) | C1.V_monotone_h1_h4=T(monotone=True) | C1.gamma1>=0.6&CIlo>0.45=T(gamma1=0.797587 lo95=0.762569) | C1.SI>=0.8=F(SI=0.267706) | C1.V1/Vinf>=0.7=F(V1/Vinf=0.141588) | C1.V1>V2=F(from T05 V_h) | C1.gamma1<=0.2&CIhi<0.45=F(gamma1=0.797587 hi95=0.829924) | C1.pos_rs>=0.7=?(pos_rs=NA),0.2677064935218304,0.14158765817317776,0.7975867440045589,,INCONCLUSIVE,table_missing:T06,,INCONCLUSIVE,True,False,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,unevaluable:C4S.OR>=1.5&p_NS1<0.01+C4S.OR<1+C4S.kill_switch_beta_iface_loses_sig_with_rsa,"C4S.OR>=1.5&p_NS1<0.01=?(OR=NA [NA,NA] p_NS1=NA) | C4S.OR<1=?(OR=NA) | C4S.kill_switch_beta_iface_loses_sig_with_rsa=?(beta_after_rsa=NA p_wald (ambiguous; see docstring)=NA (alpha = C4S_p_NS1_sup = 0.01))",,INCONCLUSIVE,table_missing:T12,,,,,,
GB1_IgG-Fc_fitness_1FCC_2016,PRIMARY,F1,True,52149,False,,False,True,True,True,True,True,False,False,False,,INCONCLUSIVE,unevaluable:C1.pos_rs>=0.7,C1.SI<=0.5=T(SI=0.440864) | C1.V1/Vinf<=0.35=T(V1/Vinf=0.272236) | C1.V_monotone_h1_h4=T(monotone=True) | C1.gamma1>=0.6&CIlo>0.45=T(gamma1=0.6978 lo95=0.597489) | C1.SI>=0.8=F(SI=0.440864) | C1.V1/Vinf>=0.7=F(V1/Vinf=0.272236) | C1.V1>V2=F(from T05 V_h) | C1.gamma1<=0.2&CIhi<0.45=F(gamma1=0.6978 hi95=0.848014) | C1.pos_rs>=0.7=?(pos_rs=NA),0.44086407091895946,0.27223642113752233,0.6978000007809094,,INCONCLUSIVE,table_missing:T06,,INCONCLUSIVE,True,False,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,assay_not_permissible_for_C4S,,False,INCONCLUSIVE,table_missing:T12,,,,,,
HLA-A2_TAPBPR_meanscore_5WER,EXCLUDED,,True,0,False,,False,False,False,False,False,False,False,False,False,,INCONCLUSIVE,support_failed:C1.SI<=0.5+C1.V1/Vinf<=0.35,C1.SI<=0.5=F(SI=0.694951) | C1.V1/Vinf<=0.35=F(V1/Vinf=0.490155) | C1.V_monotone_h1_h4=T(monotone=True) | C1.gamma1>=0.6&CIlo>0.45=?(gamma1=NA lo95=NA) | C1.SI>=0.8=F(SI=0.694951) | C1.V1/Vinf>=0.7=F(V1/Vinf=0.490155) | C1.V1>V2=F(from T05 V_h) | C1.gamma1<=0.2&CIhi<0.45=?(gamma1=NA hi95=NA) | C1.pos_rs>=0.7=?(pos_rs=NA),0.6949509413851586,0.4901552965477084,,,INCONCLUSIVE,table_missing:T06,,INCONCLUSIVE,True,False,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,assay_not_permissible_for_C4S,,False,INCONCLUSIVE,table_missing:T12,,,,,,
KRAS_DARPinK27_norfitness_5O2S,EXCLUDED,,True,33597,False,,False,False,False,False,False,False,False,True,False,,INCONCLUSIVE,support_failed:C1.SI<=0.5+C1.V1/Vinf<=0.35+C1.V_monotone_h1_h4,C1.SI<=0.5=F(SI=0.514088) | C1.V1/Vinf<=0.35=F(V1/Vinf=0.352765) | C1.V_monotone_h1_h4=F(monotone=False) | C1.gamma1>=0.6&CIlo>0.45=T(gamma1=0.732041 lo95=0.708762) | C1.SI>=0.8=F(SI=0.514088) | C1.V1/Vinf>=0.7=F(V1/Vinf=0.352765) | C1.V1>V2=F(from T05 V_h) | C1.gamma1<=0.2&CIhi<0.45=F(gamma1=0.732041 hi95=0.753527) | C1.pos_rs>=0.7=?(pos_rs=NA),0.5140884097882673,0.3527650106691872,0.7320413297315542,,INCONCLUSIVE,table_missing:T06,,INCONCLUSIVE,True,False,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,assay_not_permissible_for_C4S,,False,INCONCLUSIVE,table_missing:T12,,,,,,
KRAS_PICK3CG-RBD_norfitness_1HE8,PRIMARY,F2,True,32756,False,,False,True,True,True,True,True,True,True,False,,INCONCLUSIVE,unevaluable:C1.pos_rs>=0.7,C1.SI<=0.5=T(SI=0.428897) | C1.V1/Vinf<=0.35=T(V1/Vinf=0.262954) | C1.V_monotone_h1_h4=T(monotone=True) | C1.gamma1>=0.6&CIlo>0.45=T(gamma1=0.780605 lo95=0.757668) | C1.SI>=0.8=F(SI=0.428897) | C1.V1/Vinf>=0.7=F(V1/Vinf=0.262954) | C1.V1>V2=F(from T05 V_h) | C1.gamma1<=0.2&CIhi<0.45=F(gamma1=0.780605 hi95=0.803381) | C1.pos_rs>=0.7=?(pos_rs=NA),0.42889738262316685,0.26295441747814896,0.7806047831245873,,INCONCLUSIVE,table_missing:T06,,INCONCLUSIVE,True,False,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,unevaluable:C4S.OR>=1.5&p_NS1<0.01+C4S.OR<1+C4S.kill_switch_beta_iface_loses_sig_with_rsa,"C4S.OR>=1.5&p_NS1<0.01=?(OR=NA [NA,NA] p_NS1=NA) | C4S.OR<1=?(OR=NA) | C4S.kill_switch_beta_iface_loses_sig_with_rsa=?(beta_after_rsa=NA p_wald (ambiguous; see docstring)=NA (alpha = C4S_p_NS1_sup = 0.01))",,INCONCLUSIVE,table_missing:T12,,,,,,
KRAS_RAF1-RBD_norfitness_6VJJ,PRIMARY,F2,True,40377,False,,False,True,True,True,True,True,True,True,False,,INCONCLUSIVE,support_failed:C1.V_monotone_h1_h4,C1.SI<=0.5=T(SI=0.408293) | C1.V1/Vinf<=0.35=T(V1/Vinf=0.255914) | C1.V_monotone_h1_h4=F(monotone=False) | C1.gamma1>=0.6&CIlo>0.45=T(gamma1=0.77334 lo95=0.741881) | C1.SI>=0.8=F(SI=0.408293) | C1.V1/Vinf>=0.7=F(V1/Vinf=0.255914) | C1.V1>V2=F(from T05 V_h) | C1.gamma1<=0.2&CIhi<0.45=F(gamma1=0.77334 hi95=0.80236) | C1.pos_rs>=0.7=?(pos_rs=NA),0.4082929007201637,0.25591411426995814,0.7733395747069249,,INCONCLUSIVE,table_missing:T06,,INCONCLUSIVE,True,False,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,unevaluable:C4S.OR>=1.5&p_NS1<0.01+C4S.OR<1+C4S.kill_switch_beta_iface_loses_sig_with_rsa,"C4S.OR>=1.5&p_NS1<0.01=?(OR=NA [NA,NA] p_NS1=NA) | C4S.OR<1=?(OR=NA) | C4S.kill_switch_beta_iface_loses_sig_with_rsa=?(beta_after_rsa=NA p_wald (ambiguous; see docstring)=NA (alpha = C4S_p_NS1_sup = 0.01))",,INCONCLUSIVE,table_missing:T12,,,,,,
KRAS_RAF1_norfitness_6VJJ,PRIMARY,F2,True,22950,False,,False,True,True,True,True,True,False,True,False,,INCONCLUSIVE,support_failed:C1.V_monotone_h1_h4,C1.SI<=0.5=T(SI=0.446529) | C1.V1/Vinf<=0.35=T(V1/Vinf=0.275605) | C1.V_monotone_h1_h4=F(monotone=False) | C1.gamma1>=0.6&CIlo>0.45=T(gamma1=0.764982 lo95=0.735286) | C1.SI>=0.8=F(SI=0.446529) | C1.V1/Vinf>=0.7=F(V1/Vinf=0.275605) | C1.V1>V2=F(from T05 V_h) | C1.gamma1<=0.2&CIhi<0.45=F(gamma1=0.764982 hi95=0.792789) | C1.pos_rs>=0.7=?(pos_rs=NA),0.4465289242878613,0.2756048222508273,0.7649817015955571,,INCONCLUSIVE,table_missing:T06,,INCONCLUSIVE,True,False,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,assay_not_permissible_for_C4S,,False,INCONCLUSIVE,table_missing:T12,,,,,,
KRAS_RALGDS-RBD_norfitness_1LFD,PRIMARY,F2,True,35186,False,,False,True,True,True,True,True,True,True,False,,INCONCLUSIVE,unevaluable:C1.pos_rs>=0.7,C1.SI<=0.5=T(SI=0.393537) | C1.V1/Vinf<=0.35=T(V1/Vinf=0.241314) | C1.V_monotone_h1_h4=T(monotone=True) | C1.gamma1>=0.6&CIlo>0.45=T(gamma1=0.777062 lo95=0.744943) | C1.SI>=0.8=F(SI=0.393537) | C1.V1/Vinf>=0.7=F(V1/Vinf=0.241314) | C1.V1>V2=F(from T05 V_h) | C1.gamma1<=0.2&CIhi<0.45=F(gamma1=0.777062 hi95=0.808744) | C1.pos_rs>=0.7=?(pos_rs=NA),0.39353671621956005,0.24131384839266687,0.7770615104971981,,INCONCLUSIVE,table_missing:T06,,INCONCLUSIVE,True,False,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,unevaluable:C4S.OR>=1.5&p_NS1<0.01+C4S.OR<1+C4S.kill_switch_beta_iface_loses_sig_with_rsa,"C4S.OR>=1.5&p_NS1<0.01=?(OR=NA [NA,NA] p_NS1=NA) | C4S.OR<1=?(OR=NA) | C4S.kill_switch_beta_iface_loses_sig_with_rsa=?(beta_after_rsa=NA p_wald (ambiguous; see docstring)=NA (alpha = C4S_p_NS1_sup = 0.01))",,INCONCLUSIVE,table_missing:T12,,,,,,
KRAS_SOS1_norfitness_8BE4,PRIMARY,F2,True,33412,False,,False,True,True,True,True,True,True,True,False,,INCONCLUSIVE,support_failed:C1.SI<=0.5+C1.V1/Vinf<=0.35+C1.V_monotone_h1_h4,C1.SI<=0.5=F(SI=0.512939) | C1.V1/Vinf<=0.35=F(V1/Vinf=0.351661) | C1.V_monotone_h1_h4=F(monotone=False) | C1.gamma1>=0.6&CIlo>0.45=T(gamma1=0.732775 lo95=0.70986) | C1.SI>=0.8=F(SI=0.512939) | C1.V1/Vinf>=0.7=F(V1/Vinf=0.351661) | C1.V1>V2=F(from T05 V_h) | C1.gamma1<=0.2&CIhi<0.45=F(gamma1=0.732775 hi95=0.754854) | C1.pos_rs>=0.7=?(pos_rs=NA),0.5129392810771551,0.3516610740039789,0.7327750875990872,,INCONCLUSIVE,table_missing:T06,,INCONCLUSIVE,True,False,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,unevaluable:C4S.OR>=1.5&p_NS1<0.01+C4S.OR<1+C4S.kill_switch_beta_iface_loses_sig_with_rsa,"C4S.OR>=1.5&p_NS1<0.01=?(OR=NA [NA,NA] p_NS1=NA) | C4S.OR<1=?(OR=NA) | C4S.kill_switch_beta_iface_loses_sig_with_rsa=?(beta_after_rsa=NA p_wald (ambiguous; see docstring)=NA (alpha = C4S_p_NS1_sup = 0.01))",,INCONCLUSIVE,table_missing:T12,,,,,,
PSD95_CRIPT_1BE9,EXCLUDED,,True,0,False,,False,False,False,False,False,False,False,True,False,,INCONCLUSIVE,support_failed:C1.SI<=0.5+C1.V1/Vinf<=0.35,C1.SI<=0.5=F(SI=0.614705) | C1.V1/Vinf<=0.35=F(V1/Vinf=0.487333) | C1.V_monotone_h1_h4=T(monotone=True) | C1.gamma1>=0.6&CIlo>0.45=?(gamma1=NA lo95=NA) | C1.SI>=0.8=F(SI=0.614705) | C1.V1/Vinf>=0.7=F(V1/Vinf=0.487333) | C1.V1>V2=F(from T05 V_h) | C1.gamma1<=0.2&CIhi<0.45=?(gamma1=NA hi95=NA) | C1.pos_rs>=0.7=?(pos_rs=NA),0.6147050611273082,0.4873334189119765,,,INCONCLUSIVE,table_missing:T06,,INCONCLUSIVE,True,False,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,assay_not_permissible_for_C4S,,False,INCONCLUSIVE,table_missing:T12,,,,,,
PSD95_Tm2F_1BE9,EXCLUDED,,True,0,False,,False,False,False,False,False,False,False,True,False,,INCONCLUSIVE,support_failed:C1.SI<=0.5+C1.V1/Vinf<=0.35,C1.SI<=0.5=F(SI=0.64614) | C1.V1/Vinf<=0.35=F(V1/Vinf=0.549727) | C1.V_monotone_h1_h4=T(monotone=True) | C1.gamma1>=0.6&CIlo>0.45=?(gamma1=NA lo95=NA) | C1.SI>=0.8=F(SI=0.64614) | C1.V1/Vinf>=0.7=F(V1/Vinf=0.549727) | C1.V1>V2=F(from T05 V_h) | C1.gamma1<=0.2&CIhi<0.45=?(gamma1=NA hi95=NA) | C1.pos_rs>=0.7=?(pos_rs=NA),0.6461403708306299,0.5497269198779057,,,INCONCLUSIVE,table_missing:T06,,INCONCLUSIVE,True,False,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,assay_not_permissible_for_C4S,,False,INCONCLUSIVE,table_missing:T12,,,,,,
