arm,tau,obs_rate,N2_mean_rate,N2_p025,N2_p975,T_N2,inside_two_sided,inside_one_sided
unmasked_naive,3.0,0.03941204297137276,0.1845263001281816,0.18300067142769944,0.1861069782701581,0.2135849629239577,False,True
unmasked_naive,4.0,0.03216749069157053,0.12128799670390038,0.11991436435634499,0.12258696133186839,0.2652157803389302,False,True
masked_tobit,3.0,0.010818460947994627,0.030435137209748612,0.029240428900402994,0.031668585684129724,0.3554595753400905,False,True
masked_tobit,4.0,0.0037180963346766455,0.01253226348109768,0.011607656879677604,0.013361758779504894,0.296681947382021,False,True
